file,variable,label,type,scale_or_levels,source_item,notes
person_level.csv,christian_nationalism_score,Mean of 6 CNS items,numeric (1-5),mean of cns_item1-6,derived,
person_level.csv,has_pets,Currently owns/lives with pets,logical,TRUE/FALSE,Q24,
person_level.csv,game_meat_freq,Frequency household consumes game meat,numeric (1-4),1=Never ... 4=At least once per week,Q25,
person_level.csv,hunter_status,Hunter identity / knows a hunter,factor (3 levels),"No; Yes, know someone who hunts; Yes, hunt(ed) personally",Q26,
person_level.csv,interested_in_hunting,Interest in hunting in the future,numeric (1-5),1=Strongly disagree ... 5=Strongly agree,Q27_1,Only asked of respondents who answered 'No' to Q26; NA otherwise
person_level.csv,hunted_species_raw,Raw comma-separated species-type hunted,character,free text from multi-select,Q28,Only asked of respondents who hunt; see hunted_* dummy columns
person_level.csv,hunted_ungulates,"Has hunted ungulates (deer, elk)",logical,TRUE/FALSE,Q28,Derived from hunted_species_raw
person_level.csv,hunted_birds_smallgame,Has hunted birds/small game,logical,TRUE/FALSE,Q28,Derived from hunted_species_raw
person_level.csv,hunted_predators,"Has hunted predators (wolves, coyotes, foxes)",logical,TRUE/FALSE,Q28,Derived from hunted_species_raw
person_level.csv,eats_meat,Eats meat as part of regular diet,logical,TRUE/FALSE,Q35,Sparsely asked in this pilot -- confirm display logic before relying on this in the live survey
person_level.csv,political_ideology,Political ideology slider,numeric (0-100),0=most liberal ... 100=most conservative,Q29_1,
