vsid,weight,gender,age_group4,education,income,region,metro,race,hispanic,pid_base,pid_lean,vote_2024,votechoice_2024
17cf2283-fa68-42d9-b3be-7747acd7b9ba,0.844527031,Female,65+,4-year or bachelor degree,"$75,000 to under $100,000",Midwest,Metropolitan,White,No,Republican,,I voted,Donald Trump
df750941-0f9a-4c23-a7bb-eec0a28458bc,0.803681081,Male,65+,Post-graduate degree,"$50,000 to under $75,000",West,Metropolitan,White,No,Independent,The Republican Party,I voted,Donald Trump
710403de-fb0d-4370-ae07-fe4b3222874f,0.81135214,Male,50-64,4-year or bachelor degree,"More than $200,000",West,Metropolitan,White,Yes,Independent,The Democratic Party,I voted,Kamala Harris
d0078673-3a12-45d9-89da-4a1471aed1c3,1.030853539,Male,30-49,High school graduate or GED,"$50,000 to under $75,000",Midwest,Metropolitan,White,No,Democrat,,I voted,Kamala Harris
9ab497e8-8ce9-4586-ae31-d9bd9bb964e1,1.500000152,Male,18-29,4-year or bachelor degree,"More than $200,000",Northeast,Metropolitan,White,No,Republican,,I voted,Donald Trump
b0dc68e6-5090-4c3e-8713-1718c5c80619,1.273804759,Female,30-49,Post-graduate degree,"$75,000 to under $100,000",Northeast,Metropolitan,Asian or Asian-American,No,Independent,Neither,I did not vote,
4422ff00-d1d9-4fde-a2de-0970039606e5,0.790298631,Male,65+,4-year or bachelor degree,"$100,000 to under $150,000",Midwest,Non-metro,White,No,Independent,The Democratic Party,I voted,Kamala Harris
0524b13c-a8f5-4562-a13f-a96e9b8a6907,1.49298555,Male,30-49,Post-graduate degree,"$100,000 to under $150,000",Northeast,Metropolitan,Mixed race,No,Independent,The Democratic Party,I voted,Someone else
bbcffa60-624b-4c1f-ade8-0027b1d2e5ba,1.019587587,Male,65+,2-year or associate degree,"$50,000 to under $75,000",Midwest,Metropolitan,White,No,Republican,,I voted,Kamala Harris
e171ff8f-70ca-4d34-8a48-046cab3dcc65,0.612781236,Male,30-49,4-year or bachelor degree,"$150,000 to under $200,000",Northeast,Metropolitan,Black or African-American,No,Democrat,,I voted,Kamala Harris
9e8f0368-7d41-4692-9e69-709b900cdd1c,0.948468826,Female,30-49,Some high school or less,"Less than $15,000",South,Metropolitan,Black or African-American,No,Democrat,,I did not vote,
83ca3404-c462-4efd-9869-dd516a05b01b,0.569927012,Female,50-64,"Some college, no degree","$50,000 to under $75,000",South,Metropolitan,Black or African-American,No,Democrat,,I voted,Kamala Harris
6f1fc56e-c016-49f7-b461-75e6a839ad0b,0.79190532,Female,65+,"Some college, no degree","$15,000 to under $50,000",South,Metropolitan,Black or African-American,No,Democrat,,I did not vote,
8ace29c4-b4e8-4b84-bfa2-a21ea0c24266,1.370895511,Other,30-49,4-year or bachelor degree,"$75,000 to under $100,000",West,Metropolitan,Mixed race,No,Other or none,Neither,I voted,Someone else
78d69e16-a07f-4f32-9f9c-6addb705771e,1.039547872,Male,18-29,High school graduate or GED,"$15,000 to under $50,000",West,Metropolitan,Black or African-American,No,Democrat,,I voted,Kamala Harris
60da62f1-719b-4e48-bce3-6fd13eee2a6b,0.645318841,Male,30-49,Post-graduate degree,"$100,000 to under $150,000",Midwest,Non-metro,White,No,Independent,The Republican Party,I voted,Donald Trump
b0e3f117-446e-441b-bbe6-9d4f59627d17,1.541690138,Female,18-29,High school graduate or GED,"$75,000 to under $100,000",South,Metropolitan,Black or African-American,No,Democrat,,I voted,Kamala Harris
50de933c-6ae1-451a-9da9-72e5e22715e3,1.063075295,Female,30-49,"Some college, no degree","$75,000 to under $100,000",South,Metropolitan,Black or African-American,No,Other or none,The Democratic Party,I did not vote,
be97b3af-2428-4e61-8ca7-e93f57ce2325,0.7124779,Female,18-29,4-year or bachelor degree,"Less than $15,000",West,Metropolitan,Asian or Asian-American,No,Democrat,,I voted,Kamala Harris
08b324b2-9d36-4f99-a240-4a7197715c60,0.827127862,Male,50-64,Post-graduate degree,"$100,000 to under $150,000",South,Metropolitan,White,No,Republican,,I voted,Donald Trump
94b2a425-5474-49a3-9d54-9a4914c811bf,2.618766147,Female,65+,High school graduate or GED,"$50,000 to under $75,000",Northeast,Metropolitan,White,No,Republican,,I voted,Someone else
f0f55ecb-eec9-4b31-b489-3c746b3843c5,0.659761552,Male,30-49,4-year or bachelor degree,"$75,000 to under $100,000",Midwest,Metropolitan,White,No,Democrat,,I voted,Kamala Harris
1c9ab662-3e13-4407-a9f7-949c697f7604,0.912258436,Female,30-49,High school graduate or GED,"Less than $15,000",South,Non-metro,Black or African-American,No,Independent,Neither,I did not vote,
ae68b5ad-49d2-45bf-a735-ed310518bc58,0.362340828,Female,30-49,4-year or bachelor degree,"$15,000 to under $50,000",South,Metropolitan,Black or African-American,No,Republican,,I voted,Donald Trump
58f6a0df-e0f5-4813-9b44-7f51fe838ff4,0.671568169,Male,50-64,Post-graduate degree,"$150,000 to under $200,000",Northeast,Metropolitan,White,No,Independent,Neither,I voted,Donald Trump
ba69dd40-0f29-4a7b-bc35-0341a16b0002,2.014011018,Female,18-29,High school graduate or GED,"$75,000 to under $100,000",Northeast,Metropolitan,Black or African-American,No,Democrat,,I was too young to vote,
36921d20-a094-4817-b99d-8ed0db56ca9a,1.530329321,Male,50-64,High school graduate or GED,"$15,000 to under $50,000",South,Metropolitan,Black or African-American,Yes,Democrat,,I was not registered to vote,
d8a67d12-d9d2-4f88-953c-215e72da54cb,0.576729771,Female,30-49,"Some college, no degree","$75,000 to under $100,000",Midwest,Non-metro,White,No,Other or none,The Republican Party,I voted,Donald Trump
f348ec5f-29ab-4720-9a1c-3fde008f903a,1.280700401,Male,30-49,4-year or bachelor degree,"$100,000 to under $150,000",West,Metropolitan,White,No,Independent,Neither,I voted,Someone else
b82e89b4-862f-41a2-9be2-4db45426cd66,0.973360632,Male,65+,Post-graduate degree,"More than $200,000",,,White,No,Republican,,I voted,Kamala Harris
502e1fdf-15c8-429d-9246-be2f0acc7526,0.866409914,Male,50-64,2-year or associate degree,"$75,000 to under $100,000",Midwest,Metropolitan,White,No,Republican,,I voted,Donald Trump
a203518e-c649-4553-8790-2f85e0df3af3,1.462051066,Female,30-49,2-year or associate degree,"$100,000 to under $150,000",South,Metropolitan,White,Yes,Democrat,,I did not vote,
b6e26f60-db97-487e-ab42-880855ea2502,0.623747126,Male,50-64,Post-graduate degree,"$50,000 to under $75,000",South,Metropolitan,Black or African-American,No,Independent,Neither,I voted,Donald Trump
6795f871-8493-417a-961d-0be9e75de4c5,1.021185422,Female,30-49,High school graduate or GED,"Less than $15,000",South,Non-metro,White,No,Democrat,,I did not vote,
8beab0cd-7707-405d-ab40-f07c8960b845,1.259416128,Female,18-29,4-year or bachelor degree,"$75,000 to under $100,000",Northeast,Metropolitan,Mixed race,No,Democrat,,I voted,Donald Trump
25f7d51a-c99b-413a-9561-ca90fda7bf25,0.794798233,Male,30-49,4-year or bachelor degree,"$100,000 to under $150,000",South,Metropolitan,White,No,Republican,,I voted,Donald Trump
4e48755f-87ff-4067-9be5-d596f2fa58ff,1.451541553,Male,18-29,4-year or bachelor degree,"$50,000 to under $75,000",Northeast,Metropolitan,Asian or Asian-American,No,Democrat,,I voted,Kamala Harris
0e3d0fcf-bb2b-4479-94cc-952db05cb90f,1.03685268,Male,65+,2-year or associate degree,"$50,000 to under $75,000",South,Metropolitan,White,No,Republican,,I voted,Donald Trump
fc7ae4b6-fa1a-4c91-9eaa-92ec6c15b111,0.827127862,Male,50-64,4-year or bachelor degree,"$75,000 to under $100,000",West,Metropolitan,White,No,Republican,,I voted,Donald Trump
ce090de7-9c80-46f4-8534-5fffdb550489,2.102748436,Female,30-49,High school graduate or GED,"$50,000 to under $75,000",South,Metropolitan,White,No,Republican,,I did not vote,
550b0a51-4e90-4fa4-97f3-aee182b4c38a,0.846500826,Other,18-29,"Some college, no degree","Less than $15,000",Midwest,Metropolitan,White,Yes,Democrat,,I voted,Kamala Harris
e3d01efe-8b84-42bd-80f6-c333c7e16940,0.951226226,Female,30-49,4-year or bachelor degree,"$15,000 to under $50,000",South,Non-metro,White,Yes,Republican,,I did not vote,
f84288db-d41e-4079-9eb1-da28da6d1c5e,0.867762849,Female,65+,2-year or associate degree,"$50,000 to under $75,000",Northeast,Metropolitan,White,Yes,Independent,Neither,I voted,Kamala Harris
b30c5502-bc13-46f6-a486-8e1f8e666e7a,0.989842945,Male,65+,4-year or bachelor degree,"$150,000 to under $200,000",South,Metropolitan,White,No,Republican,,I voted,Donald Trump
6158eb48-c3a3-45aa-be26-ef2b089712f4,1.092684565,Female,30-49,Post-graduate degree,"$150,000 to under $200,000",Midwest,Metropolitan,White,No,Other or none,Neither,I did not vote,
d69bee12-2b0e-4d54-b034-42f543802519,0.562903911,Female,30-49,Post-graduate degree,"$75,000 to under $100,000",Northeast,Metropolitan,White,No,Democrat,,I voted,Kamala Harris
b4d17afa-796d-47f7-bf41-833a18335f7d,0.608048234,Female,30-49,High school graduate or GED,"Less than $15,000",South,Metropolitan,White,Yes,Independent,Neither,I voted,Donald Trump
5e9b8688-62bc-4f3c-bedf-c14680bc0919,0.380297456,Female,,4-year or bachelor degree,"$15,000 to under $50,000",South,Metropolitan,White,No,Democrat,,I voted,Kamala Harris
90c2cdb0-684d-46d6-acff-5d17546cefab,0.714433019,Male,30-49,High school graduate or GED,"Less than $15,000",Northeast,Non-metro,White,No,Republican,,I voted,Donald Trump
29ef2a74-7aae-4f7e-b7ae-0e772eeb16b0,1.331535405,Male,30-49,Post-graduate degree,"$100,000 to under $150,000",South,Metropolitan,White,No,Democrat,,I did not vote,
1a57ed15-0ba2-41ac-85ac-b47fdbadad96,0.844527031,Female,65+,Post-graduate degree,"More than $200,000",Northeast,Metropolitan,White,No,Republican,,I voted,Donald Trump
c9352a3b-7255-4e0c-9fb3-2780c98375d5,2.269538215,Female,50-64,High school graduate or GED,"$50,000 to under $75,000",West,Metropolitan,White,Yes,Democrat,,I did not vote,
ddaaa663-c4a0-4f60-8fdd-b158e7f4047b,0.495155751,Male,65+,"Some college, no degree","$15,000 to under $50,000",South,Metropolitan,White,No,Democrat,,I voted,Kamala Harris
86bd4c3d-704c-474b-aec3-2d801970058a,1.034299477,Male,65+,"Some college, no degree","$50,000 to under $75,000",South,Non-metro,Mixed race,Yes,Other or none,Neither,I voted,Donald Trump
b99870d3-8518-4233-b1dc-8270d5c876dc,0.827127862,Male,50-64,Post-graduate degree,"$150,000 to under $200,000",West,Metropolitan,White,No,Republican,,I voted,Donald Trump
d0350067-b1ef-4189-9cdd-22006b8811cb,1.853676072,Female,18-29,High school graduate or GED,"$15,000 to under $50,000",West,Metropolitan,White,No,Other or none,Neither,I did not vote,
2310b196-0dae-4054-b129-4e8025289090,0.4224634,Female,65+,"Some college, no degree","$15,000 to under $50,000",Northeast,Metropolitan,White,No,Democrat,,I voted,Kamala Harris
130e2f0f-a8ec-4fff-8e17-f92dd6976b91,0.609549221,Female,30-49,High school graduate or GED,"$15,000 to under $50,000",Northeast,Metropolitan,White,No,Republican,,I voted,Donald Trump
37526ee4-ca25-4a9e-91fe-56c565d6168c,1.500000152,Male,18-29,4-year or bachelor degree,"$50,000 to under $75,000",South,Metropolitan,White,No,Republican,,I voted,Donald Trump
19f5d97f-34ce-43eb-9ef9-e1413fb0e4e2,0.989842945,Male,65+,Post-graduate degree,"More than $200,000",Northeast,Metropolitan,White,No,Republican,,I voted,Donald Trump
71f4596c-bae3-43e6-81ec-e4a6f0ea572e,1.059532099,Female,30-49,High school graduate or GED,"$50,000 to under $75,000",Northeast,Metropolitan,White,No,Republican,,I voted,Donald Trump
4946f149-a3cb-45f2-a5ee-08302974364d,0.845939016,Female,30-49,High school graduate or GED,"$50,000 to under $75,000",West,Metropolitan,White,No,Other or none,The Democratic Party,I voted,Kamala Harris
11d6195f-5af9-4c46-a977-3898d9bfbb06,0.982198878,Female,30-49,High school graduate or GED,"Less than $15,000",West,Non-metro,White,No,Other or none,Neither,I was not registered to vote,
e210aff4-7151-49ce-abf7-edde3aa95b61,0.739214838,Female,50-64,"Some college, no degree","$50,000 to under $75,000",Midwest,Metropolitan,White,No,Republican,,I voted,Donald Trump
77e3a967-4d35-4a0c-8f43-6c8c849adf6d,1.022151314,Female,50-64,High school graduate or GED,"Less than $15,000",West,Metropolitan,White,No,Other or none,Neither,I did not vote,
50ad185a-1f99-44a0-be46-1d516d814c97,0.686598359,Male,50-64,Post-graduate degree,"$50,000 to under $75,000",West,Metropolitan,White,No,Democrat,,I voted,Kamala Harris
cf2ff8f7-0786-453c-9134-548727883c5a,1.234812999,Male,65+,High school graduate or GED,"$75,000 to under $100,000",South,Non-metro,White,No,Independent,The Democratic Party,I voted,Kamala Harris
53b9920f-0a90-4466-8515-5856636366d1,0.782886618,Female,65+,4-year or bachelor degree,"$15,000 to under $50,000",Midwest,Metropolitan,White,No,Other or none,Neither,I was not registered to vote,
b2f2fb89-f0c4-40ab-b03e-76d7b9e267c0,0.724430666,Female,30-49,2-year or associate degree,"More than $200,000",Northeast,Metropolitan,Some other race,Yes,Democrat,,I voted,Kamala Harris
324f1940-141d-4390-9173-53565da946bf,0.67232681,Female,30-49,"Some college, no degree","$50,000 to under $75,000",West,Metropolitan,Mixed race,No,Independent,The Republican Party,I voted,Donald Trump
d9692680-8928-45d0-9c9c-bea69f15bbed,0.667952262,Female,50-64,4-year or bachelor degree,"More than $200,000",South,Metropolitan,Some other race,No,Independent,The Republican Party,I voted,Donald Trump
4f090981-43f5-4869-aff5-b65feff62567,1.254632128,Female,30-49,High school graduate or GED,"$15,000 to under $50,000",Midwest,Metropolitan,Mixed race,Yes,Democrat,,I did not vote,
f1175aaf-c1a3-4423-b14e-1b931de09a85,0.678116256,Female,30-49,4-year or bachelor degree,"$50,000 to under $75,000",South,Metropolitan,White,No,Republican,,I voted,Donald Trump
001558ab-70b0-435f-b88f-df83c820ddaf,1.456556651,Male,18-29,"Some college, no degree","$15,000 to under $50,000",Midwest,Metropolitan,White,No,Other or none,Neither,I did not vote,
26289b25-8b34-4bef-bb97-eef9d9977d77,0.686598359,Male,50-64,Post-graduate degree,"$150,000 to under $200,000",Midwest,Metropolitan,White,No,Democrat,,I voted,Kamala Harris
7690916f-9840-40d5-be8e-fc9bb757e1f9,2.653944149,Female,18-29,"Some college, no degree","$50,000 to under $75,000",West,Metropolitan,Native American or American Indian,Yes,Other or none,Neither,I did not vote,
408f812d-f58e-4d34-a596-8179f30d6e11,0.682901525,Female,50-64,Post-graduate degree,"$75,000 to under $100,000",South,Metropolitan,Mixed race,No,Democrat,,I voted,Kamala Harris
b99903e0-13a0-4b91-9fdc-08f644c3cbcd,0.339218626,Female,30-49,"Some college, no degree","$15,000 to under $50,000",West,Non-metro,White,No,Democrat,,I voted,Kamala Harris
c2eede8b-243a-459c-85f6-e8c040d8fb21,2.188280934,Female,50-64,High school graduate or GED,"$50,000 to under $75,000",South,Metropolitan,White,No,Republican,,I did not vote,
72f70799-bc29-463a-b01e-fc7269457c91,1.292357339,Male,50-64,High school graduate or GED,"$50,000 to under $75,000",Midwest,Metropolitan,White,No,Republican,,I voted,Donald Trump
e1616970-c283-408d-ae5e-c949fe79e551,1.112721253,Male,50-64,High school graduate or GED,"Less than $15,000",Northeast,Metropolitan,Black or African-American,No,Independent,The Democratic Party,I did not vote,
93cef9a3-fe49-4018-80f6-01267f2942e4,0.685695039,Female,65+,4-year or bachelor degree,"More than $200,000",South,Metropolitan,White,No,Independent,The Republican Party,I voted,Donald Trump
6fb70db1-5f2b-469f-aac9-3e3163b8fd79,0.759133541,Female,65+,Some high school or less,"Less than $15,000",West,Metropolitan,White,No,Republican,,I voted,Donald Trump
f49747d0-059a-4eb9-a849-e7bb64a32f4f,2.360557477,Male,18-29,High school graduate or GED,"$50,000 to under $75,000",Northeast,Metropolitan,Black or African-American,No,Democrat,,,
156ff0d2-17c3-430c-9c94-ab3e441b70e6,1.858557335,Male,30-49,High school graduate or GED,"$50,000 to under $75,000",Midwest,Metropolitan,Black or African-American,No,Other or none,Neither,I did not vote,
f0cf4383-122b-4e52-b58f-b2c5a5311f91,0.585800885,Female,50-64,4-year or bachelor degree,"$50,000 to under $75,000",Midwest,Metropolitan,White,No,Democrat,,I voted,Kamala Harris
d8d11d2b-43d7-414e-9f6f-10f359135e35,0.842163528,Male,65+,High school graduate or GED,"$15,000 to under $50,000",South,Metropolitan,Some other race,No,Independent,The Republican Party,I voted,Donald Trump
42602b7d-4fd0-4a62-95e1-7ee029b25f08,1.153414244,Male,30-49,High school graduate or GED,"$75,000 to under $100,000",South,Metropolitan,Black or African-American,No,Republican,,I voted,Donald Trump
ce134ad8-b5b5-4f3e-a877-8df93031d060,1.297570618,Female,65+,High school graduate or GED,"$75,000 to under $100,000",Northeast,Metropolitan,White,No,Republican,,I voted,Kamala Harris
4118597e-7722-4a66-9cb7-0f4fda557882,0.508931087,Female,65+,"Some college, no degree","$15,000 to under $50,000",West,Metropolitan,White,No,Republican,,I voted,Donald Trump
3acf8f39-c5ed-4e7b-881b-1bc30cf7c30d,0.989842945,Male,65+,Post-graduate degree,"$100,000 to under $150,000",South,Metropolitan,White,No,Republican,,I voted,Donald Trump
7c4e8c4f-8b1a-4b33-832d-cc85fca1fb00,0.585800885,Female,50-64,4-year or bachelor degree,"$50,000 to under $75,000",Midwest,Metropolitan,White,No,Democrat,,I voted,Kamala Harris
428b157d-de62-4beb-9d1e-9c849f4aa7e0,0.844527031,Female,65+,Post-graduate degree,"$100,000 to under $150,000",Northeast,Metropolitan,White,No,Republican,,I voted,Donald Trump
17f2e862-f511-4fa0-82ec-6f3303d57441,1.42061525,Female,,High school graduate or GED,"$15,000 to under $50,000",South,Metropolitan,White,No,Republican,,I was not registered to vote,
e60c669f-1367-4be0-8328-64c2bff43f3b,0.989216326,Male,50-64,"Some college, no degree","$15,000 to under $50,000",Midwest,Metropolitan,White,No,Republican,,I did not vote,
3edb4bb9-57c9-486a-ad9a-a07cc2c9ac38,0.794798233,Male,30-49,4-year or bachelor degree,"$50,000 to under $75,000",Northeast,Metropolitan,White,No,Republican,,I voted,Donald Trump
af3a4853-4434-4f42-b997-ebe9f36b084c,1.467046487,Female,50-64,2-year or associate degree,"$50,000 to under $75,000",West,Metropolitan,White,No,Republican,,I was not registered to vote,
06933ee3-183f-40ab-9122-043f92e360e8,0.478963388,Male,30-49,2-year or associate degree,"$15,000 to under $50,000",South,Metropolitan,White,No,Republican,,I voted,Donald Trump
e0f2562b-ea8e-4051-9351-2d250f775d98,0.948468826,Female,30-49,High school graduate or GED,"Less than $15,000",South,Metropolitan,Black or African-American,No,Democrat,,I did not vote,
1efc6f37-b80f-4781-a29b-5b2f796a5798,1.500000152,Male,18-29,4-year or bachelor degree,"$50,000 to under $75,000",South,Non-metro,White,No,Republican,,I voted,Donald Trump
46f77a21-70ef-490c-8133-78ad77bbeb6d,0.634573351,Male,30-49,Post-graduate degree,"More than $200,000",,,White,No,Independent,Neither,I voted,Kamala Harris
a9a17bd6-ba16-4622-a1a8-b1e0838448b7,0.860690809,Male,65+,"Some college, no degree","More than $200,000",Midwest,Metropolitan,White,No,Democrat,,I voted,Kamala Harris
4936a825-3772-4f94-88cf-aaed1ea80aa4,2.082443688,Male,50-64,High school graduate or GED,"$150,000 to under $200,000",Northeast,Metropolitan,White,No,Independent,Neither,I voted,Someone else
707570dc-8045-49bf-8034-c43e1418225b,2.057738839,Male,65+,"Some college, no degree","$150,000 to under $200,000",South,Non-metro,White,No,Republican,,I was not registered to vote,
03c219f9-1491-4782-a4ea-e6416b8fd090,0.508346671,Male,50-64,"Some college, no degree","$15,000 to under $50,000",West,Metropolitan,Some other race,Yes,Democrat,,I voted,Kamala Harris
8355be95-e51d-40a3-83d4-3ba263c33507,1.719477959,Male,50-64,"Some college, no degree","$75,000 to under $100,000",West,Metropolitan,White,No,Republican,,I voted,Someone else
4b7e04bb-b697-4dd4-b340-f838c5b6dd16,1.144578466,Female,30-49,"Some college, no degree","$50,000 to under $75,000",Midwest,Metropolitan,White,No,Independent,The Democratic Party,I did not vote,
140c01b4-9d53-4cbb-8ae9-1f975fd75a0d,0.407641913,Female,30-49,2-year or associate degree,"Less than $15,000",Midwest,Metropolitan,White,Yes,Other or none,The Republican Party,I voted,Donald Trump
0c2ddaa8-9550-4ca3-a3ea-d76f13c2f35b,0.915292675,Female,50-64,High school graduate or GED,"$50,000 to under $75,000",Midwest,Non-metro,White,No,Democrat,,I voted,Kamala Harris
6d16ff7b-1c96-4264-a2a2-8646b0a4a84f,1.319542911,Female,65+,High school graduate or GED,"$50,000 to under $75,000",Midwest,Non-metro,White,No,Republican,,I voted,Donald Trump
d29781e8-3b29-497f-bfbd-68e30f7f6d03,0.926541661,Male,30-49,Post-graduate degree,"$150,000 to under $200,000",South,Metropolitan,Asian or Asian-American,No,Republican,,I voted,Donald Trump
4823fa79-f48a-44ac-824e-2598965c3696,1.526815082,Female,18-29,2-year or associate degree,"Less than $15,000",West,Metropolitan,Some other race,Yes,Independent,Neither,I did not vote,
6fc52029-d8a3-4389-b8da-3f60b2a9d5dc,0.397587231,Male,30-49,"Some college, no degree","$15,000 to under $50,000",Midwest,Metropolitan,White,No,Democrat,,I voted,Kamala Harris
e6847b67-269e-4d4c-903a-10fa5c1c566c,0.607034114,Female,30-49,4-year or bachelor degree,"Less than $15,000",Midwest,Metropolitan,Black or African-American,No,Democrat,,I was not registered to vote,
8cc0755c-2274-47b7-8695-104f8653668e,0.646943639,Female,50-64,Some high school or less,"Less than $15,000",South,Metropolitan,Some other race,Yes,Democrat,,I voted,Kamala Harris
86da94c6-ac1a-4e9d-bab5-293234086ad8,1.572354123,Female,18-29,Post-graduate degree,"$50,000 to under $75,000",South,Metropolitan,White,Yes,Republican,,I voted,Donald Trump
4101ef21-f14f-4459-80d1-a6689414f4a8,0.710321431,Female,30-49,"Some college, no degree","$75,000 to under $100,000",Northeast,Metropolitan,White,No,Republican,,I voted,Donald Trump
ccc24050-76a0-4a1c-b23b-f72c03261412,1.670735526,Male,65+,2-year or associate degree,"$100,000 to under $150,000",Northeast,Metropolitan,White,No,Independent,Neither,I voted,Someone else
f5e203fd-86ee-4887-81a4-d976229dd3d3,1.707280073,Female,30-49,High school graduate or GED,"$50,000 to under $75,000",South,Metropolitan,White,No,Other or none,The Democratic Party,I did not vote,
0d5738e7-0c76-47c5-b0e7-afb94d4d1df0,0.703462361,Male,50-64,2-year or associate degree,"$50,000 to under $75,000",South,Metropolitan,White,No,Independent,The Republican Party,I voted,Donald Trump
947dce86-55b8-49c0-a851-2e13db566fe9,0.821668055,Male,65+,Post-graduate degree,"$100,000 to under $150,000",Midwest,Non-metro,White,No,Democrat,,I voted,Kamala Harris
